Date,Open,High,Low,Close,Adj Close,Volume
2018-05-16,65.029999,66.370003,64.690002,65.790001,65.790001,2291000
2018-05-17,65.820000,67.489998,65.820000,66.709999,66.709999,2036300
2018-05-18,66.500000,66.570000,65.410004,66.160004,66.160004,1834800
2018-05-21,66.540001,67.290001,65.790001,67.080002,67.080002,1707200
2018-05-22,67.250000,67.559998,66.080002,66.160004,66.160004,1821000
2018-05-23,65.519997,67.540001,65.050003,67.320000,67.320000,1982800
2018-05-24,67.370003,68.970001,66.980003,68.370003,68.370003,2669600
2018-05-25,68.370003,69.250000,68.339996,68.639999,68.639999,3248800
2018-05-29,67.650002,69.120003,67.250000,68.220001,68.220001,3536200
2018-05-30,61.950001,63.290001,58.889999,60.410000,60.410000,18263300
2018-05-31,60.259998,60.580002,57.290001,57.389999,57.389999,9393400
2018-06-01,57.599998,60.250000,57.099998,59.840000,59.840000,7308900
2018-06-04,59.700001,60.759998,58.630001,60.560001,60.560001,4283300
2018-06-05,60.400002,63.910000,59.650002,63.529999,63.529999,5546700
2018-06-06,63.419998,63.950001,62.220001,63.450001,63.450001,3908100
2018-06-07,63.610001,64.580002,63.130001,63.430000,63.430000,2862000
2018-06-08,63.240002,64.860001,62.790001,64.650002,64.650002,2584400
2018-06-11,64.599998,66.589996,64.449997,66.349998,66.349998,2358100
2018-06-12,66.830002,69.019997,66.260002,68.129997,68.129997,4593400
2018-06-13,68.029999,68.400002,66.559998,66.820000,66.820000,3219300
2018-06-14,66.800003,66.989998,65.529999,65.849998,65.849998,2748800
2018-06-15,65.309998,67.680000,65.199997,67.519997,67.519997,2575100
2018-06-18,67.070000,68.750000,66.500000,68.599998,68.599998,2430300
2018-06-19,67.529999,68.010002,66.519997,67.019997,67.019997,3130300
2018-06-20,67.080002,68.160004,66.360001,67.989998,67.989998,1820700
2018-06-21,67.239998,68.599998,67.129997,67.269997,67.269997,1760000
2018-06-22,67.500000,67.500000,66.529999,66.629997,66.629997,2487800
2018-06-25,68.050003,68.080002,66.010002,66.709999,66.709999,2788800
2018-06-26,67.559998,68.580002,66.769997,68.000000,68.000000,2127800
2018-06-27,68.500000,68.779999,66.669998,66.800003,66.800003,1916700
2018-06-28,66.430000,67.300003,66.230003,66.959999,66.959999,1578800
2018-06-29,67.870003,68.080002,66.570000,66.599998,66.599998,1994400
2018-07-02,66.360001,66.599998,65.379997,66.489998,66.489998,2015900
2018-07-03,66.650002,67.139999,65.750000,65.879997,65.879997,1102100
2018-07-05,66.239998,66.669998,65.169998,65.970001,65.970001,1681500
2018-07-06,66.019997,67.209999,65.650002,66.970001,66.970001,2041600
2018-07-09,68.500000,68.500000,66.589996,67.389999,67.389999,2545000
2018-07-10,67.660004,67.860001,66.849998,67.309998,67.309998,1809900
2018-07-11,65.580002,66.750000,63.790001,66.500000,66.500000,4209100
2018-07-12,67.330002,67.339996,66.150002,66.440002,66.440002,1818500
2018-07-13,66.449997,67.250000,66.050003,66.550003,66.550003,1888300
2018-07-16,66.480003,67.269997,66.459999,67.169998,67.169998,1434000
2018-07-17,67.040001,68.099998,66.760002,67.669998,67.669998,2580100
2018-07-18,67.709999,67.809998,65.730003,67.070000,67.070000,2205100
2018-07-19,67.260002,68.080002,66.879997,67.949997,67.949997,1808800
2018-07-20,68.040001,68.699997,67.500000,67.629997,67.629997,1284800
2018-07-23,67.989998,68.300003,67.389999,67.629997,67.629997,951400
2018-07-24,68.040001,69.820000,67.080002,67.279999,67.279999,2818800
2018-07-25,67.120003,68.320000,66.470001,68.309998,68.309998,1374800
2018-07-26,68.360001,69.349998,67.900002,68.339996,68.339996,1098500
2018-07-27,68.199997,68.699997,66.230003,66.709999,66.709999,1153900
2018-07-30,66.860001,66.970001,65.900002,66.169998,66.169998,1193600
2018-07-31,66.389999,66.889999,65.419998,66.730003,66.730003,1727200
2018-08-01,66.370003,67.050003,65.489998,65.760002,65.760002,2047600
2018-08-02,65.260002,65.489998,63.840000,64.660004,64.660004,2596500
2018-08-03,65.099998,65.300003,63.959999,64.239998,64.239998,2546200
2018-08-06,65.000000,65.360001,63.560001,64.620003,64.620003,3135400
2018-08-07,65.000000,66.040001,64.220001,65.599998,65.599998,3396300
2018-08-08,68.040001,70.989998,67.750000,70.010002,70.010002,8147600
2018-08-09,70.500000,73.180000,70.309998,72.339996,72.339996,4254500
2018-08-10,71.760002,73.250000,71.120003,72.669998,72.669998,3192400
